,mean,std,min,median,max,mean_benign,mean_malignant,malignant_to_benign_ratio
mean radius,14.1661,3.5791,6.981,13.34,28.11,12.1555,17.5368,1.4427
mean texture,19.4177,4.2907,9.71,18.9,39.28,18.0486,21.7129,1.203
mean perimeter,92.2159,24.7171,43.79,86.18,188.5,78.1045,115.8732,1.4836
mean area,659.5782,360.4187,143.5,546.4,2501.0,463.8568,987.6994,2.1293
mean smoothness,0.096,0.0143,0.0625,0.0952,0.1634,0.0917,0.1032,1.1252
mean compactness,0.1038,0.0539,0.0194,0.0923,0.3454,0.0786,0.1461,1.8588
mean concavity,0.0892,0.0817,0.0,0.0594,0.4268,0.0461,0.1614,3.5022
mean concave points,0.049,0.0397,0.0,0.0333,0.2012,0.0253,0.0888,3.5162
mean symmetry,0.1815,0.0276,0.106,0.1799,0.304,0.1742,0.1937,1.1118
mean fractal dimension,0.0627,0.007,0.0502,0.0613,0.0974,0.0627,0.0628,1.0013
radius error,0.4112,0.2902,0.1115,0.3274,2.873,0.2861,0.6208,2.1697
texture error,1.2179,0.5523,0.3602,1.139,4.885,1.2207,1.2131,0.9938
perimeter error,2.9116,2.1231,0.757,2.31,21.98,2.016,4.4129,2.189
area error,41.2791,48.3842,6.802,24.87,542.2,21.3519,74.6864,3.4979
smoothness error,0.0069,0.0029,0.0017,0.0063,0.0311,0.007,0.0067,0.9524
compactness error,0.0253,0.0176,0.0023,0.0202,0.1064,0.0214,0.0318,1.4835
concavity error,0.032,0.0317,0.0,0.0259,0.396,0.0264,0.0414,1.5635
concave points error,0.0117,0.0063,0.0,0.0109,0.0528,0.0097,0.015,1.5366
symmetry error,0.0204,0.0083,0.0079,0.0187,0.079,0.0204,0.0205,1.0054
fractal dimension error,0.0038,0.0026,0.0009,0.0031,0.0298,0.0036,0.004,1.1055
worst radius,16.3515,4.901,7.93,14.92,36.04,13.4114,21.2806,1.5868
worst texture,25.9049,6.0795,12.02,25.48,49.54,23.7161,29.5743,1.247
worst perimeter,107.8605,34.176,50.41,97.65,251.2,87.219,142.4654,1.6334
worst area,890.5692,582.3462,185.2,683.4,4254.0,561.8123,1441.7206,2.5662
worst smoothness,0.1321,0.0235,0.0712,0.1311,0.2226,0.1243,0.1452,1.1684
worst compactness,0.2555,0.1584,0.0273,0.2167,1.058,0.1838,0.3758,2.0447
worst concavity,0.2752,0.2121,0.0,0.2298,1.252,0.1699,0.4516,2.657
worst concave points,0.1155,0.0668,0.0,0.101,0.291,0.0749,0.1835,2.4482
worst symmetry,0.2914,0.063,0.1565,0.2823,0.6638,0.2706,0.3261,1.205
worst fractal dimension,0.0841,0.0182,0.055,0.0801,0.2075,0.0796,0.0918,1.1538
