threshold,precision,recall,specificity,f1,fp,fn
0.01,0.6475,0.9941,0.6772,0.7842,92,1
0.02,0.6926,0.9941,0.7368,0.8164,75,1
0.03,0.7478,0.9941,0.8,0.8535,57,1
0.04,0.7717,0.9941,0.8246,0.8689,50,1
0.05,0.7824,0.9941,0.8351,0.8756,47,1
0.06,0.8086,0.9941,0.8596,0.8918,40,1
0.07,0.8284,0.9941,0.8772,0.9037,35,1
0.08,0.8325,0.9941,0.8807,0.9062,34,1
0.09,0.8579,0.9941,0.9018,0.921,28,1
0.1,0.8615,0.9882,0.9053,0.9205,27,2
0.11,0.8705,0.9882,0.9123,0.9256,25,2
0.12,0.8796,0.9882,0.9193,0.9307,23,2
0.13,0.8796,0.9882,0.9193,0.9307,23,2
0.14,0.8889,0.9882,0.9263,0.9359,21,2
0.15,0.9032,0.9882,0.9368,0.9438,18,2
0.16,0.9032,0.9882,0.9368,0.9438,18,2
0.17,0.9032,0.9882,0.9368,0.9438,18,2
0.18,0.913,0.9882,0.9439,0.9492,16,2
0.19,0.9176,0.9824,0.9474,0.9489,15,3
0.2,0.9227,0.9824,0.9509,0.9516,14,3
0.21,0.9274,0.9765,0.9544,0.9513,13,4
0.22,0.9274,0.9765,0.9544,0.9513,13,4
0.23,0.9274,0.9765,0.9544,0.9513,13,4
0.24,0.9274,0.9765,0.9544,0.9513,13,4
0.25,0.9326,0.9765,0.9579,0.954,12,4
0.26,0.9432,0.9765,0.9649,0.9595,10,4
0.27,0.9432,0.9765,0.9649,0.9595,10,4
0.28,0.9486,0.9765,0.9684,0.9623,9,4
0.29,0.954,0.9765,0.9719,0.9651,8,4
0.3,0.954,0.9765,0.9719,0.9651,8,4
0.31,0.9538,0.9706,0.9719,0.9621,8,5
0.32,0.9535,0.9647,0.9719,0.9591,8,6
0.33,0.9535,0.9647,0.9719,0.9591,8,6
0.34,0.9535,0.9647,0.9719,0.9591,8,6
0.35,0.9535,0.9647,0.9719,0.9591,8,6
0.36,0.9535,0.9647,0.9719,0.9591,8,6
0.37,0.9591,0.9647,0.9754,0.9619,7,6
0.38,0.9647,0.9647,0.9789,0.9647,6,6
0.39,0.9647,0.9647,0.9789,0.9647,6,6
0.4,0.9647,0.9647,0.9789,0.9647,6,6
0.41,0.9647,0.9647,0.9789,0.9647,6,6
0.42,0.9645,0.9588,0.9789,0.9617,6,7
0.43,0.9702,0.9588,0.9825,0.9645,5,7
0.44,0.9702,0.9588,0.9825,0.9645,5,7
0.45,0.9702,0.9588,0.9825,0.9645,5,7
0.46,0.9702,0.9588,0.9825,0.9645,5,7
0.47,0.9759,0.9529,0.986,0.9643,4,8
0.48,0.9759,0.9529,0.986,0.9643,4,8
0.49,0.9759,0.9529,0.986,0.9643,4,8
0.5,0.9759,0.9529,0.986,0.9643,4,8
0.51,0.9758,0.9471,0.986,0.9612,4,9
0.52,0.9758,0.9471,0.986,0.9612,4,9
0.53,0.9758,0.9471,0.986,0.9612,4,9
0.54,0.9758,0.9471,0.986,0.9612,4,9
0.55,0.9817,0.9471,0.9895,0.9641,3,9
0.56,0.9816,0.9412,0.9895,0.961,3,10
0.57,0.9816,0.9412,0.9895,0.961,3,10
0.58,0.9816,0.9412,0.9895,0.961,3,10
0.59,0.9815,0.9353,0.9895,0.9578,3,11
0.6,0.9815,0.9353,0.9895,0.9578,3,11
0.61,0.9876,0.9353,0.993,0.9607,2,11
0.62,0.9938,0.9353,0.9965,0.9636,1,11
0.63,1.0,0.9353,1.0,0.9666,0,11
0.64,1.0,0.9353,1.0,0.9666,0,11
0.65,1.0,0.9353,1.0,0.9666,0,11
0.66,1.0,0.9353,1.0,0.9666,0,11
0.67,1.0,0.9294,1.0,0.9634,0,12
0.68,1.0,0.9235,1.0,0.9602,0,13
0.69,1.0,0.9235,1.0,0.9602,0,13
0.7,1.0,0.9235,1.0,0.9602,0,13
0.71,1.0,0.9235,1.0,0.9602,0,13
0.72,1.0,0.9176,1.0,0.9571,0,14
0.73,1.0,0.9176,1.0,0.9571,0,14
0.74,1.0,0.9176,1.0,0.9571,0,14
0.75,1.0,0.9176,1.0,0.9571,0,14
0.76,1.0,0.9176,1.0,0.9571,0,14
0.77,1.0,0.9176,1.0,0.9571,0,14
0.78,1.0,0.9118,1.0,0.9538,0,15
0.79,1.0,0.9118,1.0,0.9538,0,15
0.8,1.0,0.9118,1.0,0.9538,0,15
0.81,1.0,0.9118,1.0,0.9538,0,15
0.82,1.0,0.9118,1.0,0.9538,0,15
0.83,1.0,0.9118,1.0,0.9538,0,15
0.84,1.0,0.9118,1.0,0.9538,0,15
0.85,1.0,0.9118,1.0,0.9538,0,15
0.86,1.0,0.9118,1.0,0.9538,0,15
0.87,1.0,0.9118,1.0,0.9538,0,15
0.88,1.0,0.9059,1.0,0.9506,0,16
0.89,1.0,0.9,1.0,0.9474,0,17
0.9,1.0,0.8824,1.0,0.9375,0,20
0.91,1.0,0.8706,1.0,0.9308,0,22
0.92,1.0,0.8588,1.0,0.9241,0,24
0.93,1.0,0.8471,1.0,0.9172,0,26
0.94,1.0,0.8471,1.0,0.9172,0,26
0.95,1.0,0.8176,1.0,0.8997,0,31
0.96,1.0,0.8,1.0,0.8889,0,34
0.97,1.0,0.7824,1.0,0.8779,0,37
0.98,1.0,0.7765,1.0,0.8742,0,38
0.99,1.0,0.7412,1.0,0.8514,0,44
